[1.33333,-0,0.333333;0.333333,-1,-0.666667;-0.666667,-1,-0.666667]
[1.29412,-0.0588235,-0.294118;1.11765,0.176471,-0.117647;0.117647,0.176471,-0.117647]
[1.04,-0.44,0.04;0.92,-0.12,-0.08;-0.08,-0.12,-0.08]
[0.666667,-1,-0.333333;1.66667,1,0.666667;0.666667,1,0.666667]
[4,-0.571429,0.714286;1,-0.428571,0.285714;2,-0.428571,0.285714]
[-1.33333,0,-0.333333;-0.333333,1,0.666667;0.666667,1,0.666667]
[1.76923,-0.0769231,0.384615;1.30769,-0.230769,0.153846;0.307692,-0.230769,0.153846]
[1.42857,-0.285714,0.142857;0.142857,-0.428571,-0.285714;-0.857143,-0.428571,-0.285714]
[-1.6,0.2,-0.2;0.2,0.6,0.4;1.2,0.6,0.4]
[1.07407,-0.444444,0.037037;0.851852,-0.111111,-0.0740741;-0.148148,-0.111111,-0.0740741]
